,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd,WeeklyReleaseID
90,3,2024-09-11,08:35:15,09:22:00,53.99999999999999,,91,2024-09-11 08:35:15,2024-09-11 09:22:00,2.9925135135135137,0.6001178284132275,229.3045135135135,10.942223721537143,0.0303950658931587,0.8279798643458908,16
91,3,2024-09-11,09:34:00,10:20:30,31.36,doublon 1,92,2024-09-11 09:34:00,2024-09-11 10:20:30,2.725804054054054,0.7482165340007934,245.59697972972972,17.333268066439928,0.048147966851222,0.5751128471573309,17
92,3,2024-09-11,10:37:50,11:25:00,1.01,,93,2024-09-11 10:37:50,2024-09-11 11:25:00,3.358966666666667,0.7697122744627455,232.3349933333333,15.087861513629464,0.0419107264267485,0.759291958861313,18
93,3,2024-09-11,11:34:00,12:22:00,20.18,doublon 3,94,2024-09-11 11:34:00,2024-09-11 12:22:00,4.463736842105264,1.1527513056481025,250.80505263157897,18.756642911405297,0.0521017858650147,0.8185822334798298,19
94,3,2024-09-11,12:37:00,13:25:00,0.02,Incertitude : 0.6,95,2024-09-11 12:37:00,2024-09-11 13:25:00,5.358420000000001,1.3050420460196654,248.12368666666663,14.553073940101172,0.0404252053891699,0.8774958761387764,20
95,3,2024-09-11,13:34:15,14:22:00,0.62,,96,2024-09-11 13:34:15,2024-09-11 14:22:00,5.293714285714286,1.367266415902473,244.5789047619048,13.261087530911077,0.0368363542525307,1.04184408911544,21
96,3,2024-09-11,14:34:15,15:20:15,0.7,,97,2024-09-11 14:34:15,2024-09-11 15:20:15,4.030337931034484,1.014857928074785,237.51524827586204,17.278645607634335,0.0479962377989842,0.8393142489592595,22
97,3,2024-09-11,15:34:00,16:22:00,44.07,,98,2024-09-11 15:34:00,2024-09-11 16:22:00,4.310751677852349,1.310337737080315,247.95339597315436,15.20939953217062,0.0422483320338072,0.8990949925280225,23
98,3,2024-09-11,16:34:00,17:23:00,51.12,51.12 kg/h instead of 50.42 kg/h,99,2024-09-11 16:34:00,2024-09-11 17:23:00,3.718668965517242,1.2559921269611949,241.60035172413797,17.051304548974198,0.0473647348582616,0.8279208858423989,24
99,3,2024-09-12,09:16:15,10:02:00,19.74,,100,2024-09-12 09:16:15,2024-09-12 10:02:00,1.3511190476190476,0.4345886309660258,211.6884523809524,82.77100464676023,0.2299194573521117,0.183397107941504,25
